,gender,Status,First_Reviewer,Second_Reviewer,First_Grade,Second_Grade,Target
220,0.0,10 класс,reviewer_4,reviewer_9,27.0,26,26.5
221,1.0,11 класс,reviewer_3,reviewer_8,22.0,19,20.5
222,1.0,Иное,reviewer_4,reviewer_5,21.0,14,17.5
223,1.0,11 класс,reviewer_7,reviewer_3,23.0,22,22.5
224,1.0,11 класс,reviewer_7,reviewer_6,26.0,26,26.0
225,1.0,10 класс,reviewer_8,reviewer_7,26.0,24,25.0
226,1.0,11 класс,reviewer_8,reviewer_3,22.0,22,22.0
227,1.0,11 класс,reviewer_7,reviewer_6,26.0,25,25.5
228,1.0,11 класс,reviewer_8,reviewer_5,25.0,24,24.5
229,1.0,9 класс,reviewer_9,reviewer_7,18.0,18,18.0
230,1.0,Иное,reviewer_7,reviewer_6,18.0,25,21.5
231,1.0,9 класс,reviewer_6,reviewer_9,20.0,21,20.5
232,1.0,10 класс,reviewer_6,reviewer_7,30.0,22,26.0
233,1.0,11 класс,reviewer_8,reviewer_9,28.0,28,28.0
234,0.0,11 класс,reviewer_4,reviewer_9,20.0,18,19.0
235,1.0,11 класс,reviewer_7,reviewer_3,28.0,26,27.0
236,0.0,Иное,reviewer_3,reviewer_6,26.0,26,26.0
237,1.0,9 класс,reviewer_7,reviewer_6,25.0,24,24.5
238,1.0,11 класс,reviewer_6,reviewer_4,23.0,21,22.0
239,0.0,10 класс,reviewer_8,reviewer_5,23.0,22,22.5
240,0.0,11 класс,reviewer_3,reviewer_6,20.0,21,20.5
241,1.0,10 класс,reviewer_6,reviewer_8,26.0,24,25.0
242,1.0,11 класс,reviewer_7,reviewer_5,23.0,22,22.5
243,1.0,9 класс,reviewer_5,reviewer_6,28.0,28,28.0
244,0.0,10 класс,reviewer_8,reviewer_9,13.0,11,12.0
245,1.0,11 класс,reviewer_7,reviewer_8,26.0,25,25.5
246,1.0,Иное,reviewer_7,reviewer_6,28.0,30,29.0
247,1.0,Иное,reviewer_4,reviewer_5,26.0,24,25.0
248,0.0,10 класс,reviewer_6,reviewer_7,23.0,20,21.5
249,1.0,10 класс,reviewer_9,reviewer_7,22.0,23,22.5
250,1.0,10 класс,reviewer_7,reviewer_6,28.0,0,0.0
251,0.0,10 класс,reviewer_4,reviewer_5,22.0,18,20.0
252,1.0,11 класс,reviewer_5,reviewer_7,20.0,20,20.0
253,1.0,11 класс,reviewer_6,reviewer_7,23.0,22,22.5
254,1.0,11 класс,reviewer_9,reviewer_4,27.0,27,27.0
255,1.0,11 класс,reviewer_6,reviewer_4,24.0,24,24.0
256,1.0,Иное,reviewer_8,reviewer_3,8.0,7,7.5
257,1.0,10 класс,reviewer_6,reviewer_4,23.0,23,23.0
258,0.0,11 класс,reviewer_6,reviewer_9,30.0,28,29.0
259,0.0,9 класс,reviewer_9,reviewer_2,28.0,28,28.0
260,1.0,9 класс,reviewer_2,reviewer_7,19.0,20,19.5
261,1.0,11 класс,reviewer_3,reviewer_5,19.0,18,18.5
262,1.0,11 класс,reviewer_8,reviewer_3,24.0,25,24.5
263,1.0,10 класс,reviewer_5,reviewer_6,24.0,26,25.0
264,1.0,11 класс,reviewer_6,reviewer_4,21.0,22,21.5
265,0.0,10 класс,reviewer_4,reviewer_9,26.0,28,27.0
266,1.0,11 класс,reviewer_7,reviewer_3,26.0,29,27.5
267,1.0,10 класс,reviewer_9,reviewer_6,22.0,22,22.0
268,1.0,Иное,reviewer_4,reviewer_7,25.0,25,25.0
269,1.0,11 класс,reviewer_2,reviewer_6,22.0,26,24.0
270,1.0,10 класс,reviewer_7,reviewer_9,28.0,28,28.0
271,0.0,Иное,reviewer_6,reviewer_8,26.0,24,25.0
272,1.0,11 класс,reviewer_8,reviewer_2,24.0,21,22.5
273,1.0,11 класс,reviewer_5,reviewer_9,24.0,21,22.5
274,1.0,11 класс,reviewer_3,reviewer_4,26.0,27,26.5
275,1.0,10 класс,reviewer_3,reviewer_9,24.0,24,24.0
276,0.0,11 класс,reviewer_8,reviewer_3,26.0,27,26.5
277,0.0,10 класс,reviewer_9,reviewer_7,24.0,18,21.0
278,1.0,9 класс,reviewer_7,reviewer_5,24.0,25,24.5
279,1.0,Иное,reviewer_5,reviewer_6,23.0,19,21.0
280,1.0,10 класс,reviewer_8,reviewer_2,22.0,19,20.5
281,1.0,10 класс,reviewer_2,reviewer_7,25.0,25,25.0
282,1.0,11 класс,reviewer_7,reviewer_9,29.0,28,28.5
283,0.0,11 класс,reviewer_6,reviewer_7,20.0,24,22.0
284,1.0,11 класс,reviewer_4,reviewer_9,24.0,23,23.5
285,1.0,10 класс,reviewer_7,reviewer_9,20.0,19,19.5
286,0.0,10 класс,reviewer_2,reviewer_6,24.0,23,23.5
287,0.0,11 класс,reviewer_4,reviewer_7,28.0,30,29.0
288,1.0,Иное,reviewer_7,reviewer_9,27.0,28,27.5
289,1.0,11 класс,reviewer_6,reviewer_4,22.0,22,22.0
290,0.0,11 класс,reviewer_6,reviewer_4,26.0,27,26.5
291,1.0,Иное,reviewer_2,reviewer_6,26.0,26,26.0
292,1.0,11 класс,reviewer_4,reviewer_9,24.0,22,23.0
293,0.0,11 класс,reviewer_9,reviewer_4,26.0,24,25.0
294,1.0,10 класс,reviewer_8,reviewer_3,22.0,23,22.5
295,0.0,11 класс,reviewer_3,reviewer_6,16.0,16,16.0
296,1.0,10 класс,reviewer_7,reviewer_6,28.0,28,28.0
297,0.0,11 класс,reviewer_7,reviewer_9,20.0,23,21.5
298,1.0,11 класс,reviewer_3,reviewer_9,17.0,18,17.5
299,1.0,11 класс,reviewer_4,reviewer_6,20.0,19,19.5
300,1.0,11 класс,reviewer_3,reviewer_7,12.0,16,14.0
301,1.0,11 класс,reviewer_9,reviewer_7,21.0,21,21.0
302,1.0,Иное,reviewer_9,reviewer_7,18.0,18,18.0
303,1.0,10 класс,reviewer_8,reviewer_3,24.0,25,24.5
304,1.0,10 класс,reviewer_6,reviewer_7,23.0,22,22.5
305,1.0,Иное,reviewer_3,reviewer_6,28.0,28,28.0
306,0.0,11 класс,reviewer_8,reviewer_7,28.0,27,27.5
307,0.0,11 класс,reviewer_5,reviewer_6,27.0,27,27.0
308,1.0,10 класс,reviewer_7,reviewer_9,15.0,21,18.0
309,0.0,11 класс,reviewer_7,reviewer_3,23.0,26,24.5
310,1.0,9 класс,reviewer_9,reviewer_6,21.0,24,22.5
311,0.0,10 класс,reviewer_4,reviewer_5,28.0,26,27.0
312,1.0,10 класс,reviewer_8,reviewer_3,21.0,19,20.0
313,0.0,10 класс,reviewer_3,reviewer_4,28.0,26,27.0
314,0.0,10 класс,reviewer_8,reviewer_3,24.0,23,23.5
315,1.0,11 класс,reviewer_6,reviewer_7,26.0,28,27.0
316,0.0,Иное,reviewer_8,reviewer_9,30.0,28,29.0
317,1.0,10 класс,reviewer_8,reviewer_2,15.0,13,14.0
318,1.0,Иное,reviewer_3,reviewer_8,23.0,25,24.0
319,0.0,10 класс,reviewer_6,reviewer_7,24.0,25,24.5
320,0.0,11 класс,reviewer_7,reviewer_8,28.0,29,28.5
321,1.0,11 класс,reviewer_5,reviewer_9,29.0,29,29.0
322,0.0,10 класс,reviewer_9,reviewer_7,28.0,27,27.5
323,1.0,11 класс,reviewer_3,reviewer_6,25.0,25,25.0
324,0.0,11 класс,reviewer_7,reviewer_9,24.0,24,24.0
325,1.0,11 класс,reviewer_4,reviewer_9,26.0,24,25.0
326,0.0,11 класс,reviewer_5,reviewer_9,24.0,24,24.0
327,1.0,10 класс,reviewer_4,reviewer_7,25.0,19,22.0
328,1.0,Иное,reviewer_3,reviewer_5,24.0,23,23.5
329,1.0,10 класс,reviewer_2,reviewer_9,7.0,7,7.0
330,1.0,11 класс,reviewer_6,reviewer_5,20.0,21,20.5
331,1.0,10 класс,reviewer_6,reviewer_4,26.0,25,25.5
332,0.0,11 класс,reviewer_9,reviewer_7,19.0,18,18.5
333,0.0,10 класс,reviewer_8,reviewer_6,19.0,21,20.0
334,1.0,10 класс,reviewer_7,reviewer_2,30.0,29,29.5
335,1.0,10 класс,reviewer_4,reviewer_9,25.0,25,25.0
336,0.0,11 класс,reviewer_7,reviewer_3,22.0,21,21.5
337,0.0,11 класс,reviewer_8,reviewer_3,22.0,24,23.0
338,1.0,11 класс,reviewer_4,reviewer_8,21.0,21,21.0
339,1.0,11 класс,reviewer_8,reviewer_4,26.0,27,26.5
340,1.0,11 класс,reviewer_4,reviewer_9,28.0,26,27.0
341,1.0,11 класс,reviewer_4,reviewer_5,17.0,15,16.0
342,0.0,11 класс,reviewer_9,reviewer_7,21.0,22,21.5
343,0.0,Иное,reviewer_9,reviewer_7,26.0,26,26.0
344,0.0,11 класс,reviewer_6,reviewer_7,23.0,22,22.5
345,1.0,10 класс,reviewer_5,reviewer_6,17.0,16,16.5
346,1.0,Иное,reviewer_6,reviewer_7,28.0,20,24.0
347,1.0,9 класс,reviewer_7,reviewer_6,22.0,28,25.0
348,1.0,9 класс,reviewer_5,reviewer_9,29.0,28,28.5
349,1.0,11 класс,reviewer_2,reviewer_7,17.0,19,18.0
350,1.0,9 класс,reviewer_8,reviewer_6,23.0,0,0.0
351,1.0,11 класс,reviewer_9,reviewer_7,19.0,25,22.0
352,1.0,10 класс,reviewer_7,reviewer_3,25.0,26,25.5
353,1.0,11 класс,reviewer_5,reviewer_9,27.0,25,26.0
354,1.0,11 класс,reviewer_3,reviewer_6,28.0,30,29.0
355,1.0,10 класс,reviewer_9,reviewer_7,17.0,14,15.5
356,1.0,9 класс,reviewer_7,reviewer_8,12.0,14,13.0
357,0.0,Иное,reviewer_9,reviewer_5,23.0,21,22.0
358,1.0,10 класс,reviewer_6,reviewer_7,20.0,20,20.0
359,1.0,11 класс,reviewer_7,reviewer_8,26.0,26,26.0
360,1.0,11 класс,reviewer_7,reviewer_6,4.0,4,4.0
